gene_id,gene_symbol,id_type
Hint3,Hint3,symbol
Trmt11,Trmt11,symbol
ENSRNOG00000063960,,ensembl
ENSRNOG00000070696,,ensembl
ENSRNOG00000070767,,ensembl
Cenpw,Cenpw,symbol
LOC120100449,LOC120100449,symbol
LOC120100112,LOC120100112,symbol
Rspo3,Rspo3,symbol
Rnf146,Rnf146,symbol
Echdc1,Echdc1,symbol
ENSRNOG00000068028,,ensembl
Kiaa0408L,Kiaa0408L,symbol
Soga3,Soga3,symbol
AABR07000989.1,AABR07000989.1,symbol
LOC120100446,LOC120100446,symbol
Leg1,Leg1,symbol
RNaseP_nuc,RNaseP_nuc,symbol
ENSRNOG00000063986,Zfp72,ensembl
ENSRNOG00000064947,,ensembl
Rpl26-ps2,Rpl26-ps2,symbol
Lrrc14b,Lrrc14b,symbol
Ccdc127,Ccdc127,symbol
Sdha,Sdha,symbol
Pdcd6,Pdcd6,symbol
Ahrr,Ahrr,symbol
Exoc3,Exoc3,symbol
Slc9a3,Slc9a3,symbol
Cep72,Cep72,symbol
Tppp,Tppp,symbol
ENSRNOG00000070270,,ensembl
Zdhhc11,Zdhhc11,symbol
Brd9,Brd9,symbol
Trip13,Trip13,symbol
LOC120100379,LOC120100379,symbol
Nkd2,Nkd2,symbol
Slc12a7,Slc12a7,symbol
Slc6a19,Slc6a19,symbol
Slc6a18,Slc6a18,symbol
Tert,Tert,symbol
Clptm1l,Clptm1l,symbol
Slc6a3,Slc6a3,symbol
Lpcat1,Lpcat1,symbol
Mrpl36,Mrpl36,symbol
Ndufs6l1,Ndufs6l1,symbol
Irx4,Irx4,symbol
Irx2,Irx2,symbol
Irx1,Irx1,symbol
Adamts16,Adamts16,symbol
Ice1,Ice1,symbol
ENSRNOG00000067102,,ensembl
ENSRNOG00000063252,,ensembl
LOC120100435,LOC120100435,symbol
Dlat-ps1,Dlat-ps1,symbol
LOC120099033,LOC120099033,symbol
LOC108349392,LOC108349392,symbol
Med10,Med10,symbol
Ube2ql1,Ube2ql1,symbol
Nsun2,Nsun2,symbol
Srd5a1,Srd5a1,symbol
LOC120100362,LOC120100362,symbol
Tent4a,Tent4a,symbol
ENSRNOG00000067821,,ensembl
Ap2b1-ps1,Ap2b1-ps1,symbol
Adcy2,Adcy2,symbol
Rnu6-783,Rnu6-783,symbol
Cfap90,Cfap90,symbol
Fastkd3,Fastkd3,symbol
Mtrr,Mtrr,symbol
Zfp455l1,Zfp455l1,symbol
LOC120100215,LOC120100215,symbol
ENSRNOG00000068953,,ensembl
RGD1566325,RGD1566325,symbol
ENSRNOG00000062681,,ensembl
LOC102547287,LOC102547287,symbol
LOC102549842,LOC102549842,symbol
Zfp748,Zfp748,symbol
Spry3-ps1,Spry3-ps1,symbol
LOC102551340,LOC102551340,symbol
Zfp273l-ps1,Zfp273l-ps1,symbol
ENSRNOG00000062961,,ensembl
ENSRNOG00000068667,,ensembl
LOC120099104,LOC120099104,symbol
ENSRNOG00000066169,,ensembl
ENSRNOG00000067171,,ensembl
ENSRNOG00000064113,,ensembl
ENSRNOG00000070839,,ensembl
ENSRNOG00000068976,,ensembl
ENSRNOG00000063413,,ensembl
ENSRNOG00000067926,,ensembl
ENSRNOG00000069813,,ensembl
ENSRNOG00000067477,,ensembl
LOC102556805,LOC102556805,symbol
ENSRNOG00000066355,,ensembl
ENSRNOG00000070838,,ensembl
LOC120100091,LOC120100091,symbol
ENSRNOG00000065017,,ensembl
ENSRNOG00000062884,,ensembl
